PeriodFrom,PeriodTo,CarbonIntensity
2024-06-06T21:30Z,2024-06-06T22:00Z,206
2024-06-06T22:00Z,2024-06-06T22:30Z,179
2024-06-06T22:30Z,2024-06-06T23:00Z,173
2024-06-06T23:00Z,2024-06-06T23:30Z,170
2024-06-06T23:30Z,2024-06-07T00:00Z,187
2024-06-07T00:00Z,2024-06-07T00:30Z,186
2024-06-07T00:30Z,2024-06-07T01:00Z,185
2024-06-07T01:00Z,2024-06-07T01:30Z,181
2024-06-07T01:30Z,2024-06-07T02:00Z,178
2024-06-07T02:00Z,2024-06-07T02:30Z,182
2024-06-07T02:30Z,2024-06-07T03:00Z,183
2024-06-07T03:00Z,2024-06-07T03:30Z,178
2024-06-07T03:30Z,2024-06-07T04:00Z,184
2024-06-07T04:00Z,2024-06-07T04:30Z,182
2024-06-07T04:30Z,2024-06-07T05:00Z,182
2024-06-07T05:00Z,2024-06-07T05:30Z,177
2024-06-07T05:30Z,2024-06-07T06:00Z,175
2024-06-07T06:00Z,2024-06-07T06:30Z,157
2024-06-07T06:30Z,2024-06-07T07:00Z,123
2024-06-07T07:00Z,2024-06-07T07:30Z,104
2024-06-07T07:30Z,2024-06-07T08:00Z,87
2024-06-07T08:00Z,2024-06-07T08:30Z,67
2024-06-07T08:30Z,2024-06-07T09:00Z,56
2024-06-07T09:00Z,2024-06-07T09:30Z,50
2024-06-07T09:30Z,2024-06-07T10:00Z,56
2024-06-07T10:00Z,2024-06-07T10:30Z,66
2024-06-07T10:30Z,2024-06-07T11:00Z,62
2024-06-07T11:00Z,2024-06-07T11:30Z,62
2024-06-07T11:30Z,2024-06-07T12:00Z,65
2024-06-07T12:00Z,2024-06-07T12:30Z,66
2024-06-07T12:30Z,2024-06-07T13:00Z,73
2024-06-07T13:00Z,2024-06-07T13:30Z,71
2024-06-07T13:30Z,2024-06-07T14:00Z,74
2024-06-07T14:00Z,2024-06-07T14:30Z,76
2024-06-07T14:30Z,2024-06-07T15:00Z,86
2024-06-07T15:00Z,2024-06-07T15:30Z,114
2024-06-07T15:30Z,2024-06-07T16:00Z,134
2024-06-07T16:00Z,2024-06-07T16:30Z,161
2024-06-07T16:30Z,2024-06-07T17:00Z,187
2024-06-07T17:00Z,2024-06-07T17:30Z,207
2024-06-07T17:30Z,2024-06-07T18:00Z,228
2024-06-07T18:00Z,2024-06-07T18:30Z,236
2024-06-07T18:30Z,2024-06-07T19:00Z,238
2024-06-07T19:00Z,2024-06-07T19:30Z,240
2024-06-07T19:30Z,2024-06-07T20:00Z,247
2024-06-07T20:00Z,2024-06-07T20:30Z,249
2024-06-07T20:30Z,2024-06-07T21:00Z,241
2024-06-07T21:00Z,2024-06-07T21:30Z,226
2024-06-07T21:30Z,2024-06-07T22:00Z,189
2024-06-07T22:00Z,2024-06-07T22:30Z,153
2024-06-07T22:30Z,2024-06-07T23:00Z,156
2024-06-07T23:00Z,2024-06-07T23:30Z,170
2024-06-07T23:30Z,2024-06-08T00:00Z,169
2024-06-08T00:00Z,2024-06-08T00:30Z,168
2024-06-08T00:30Z,2024-06-08T01:00Z,167
2024-06-08T01:00Z,2024-06-08T01:30Z,159
2024-06-08T01:30Z,2024-06-08T02:00Z,165
2024-06-08T02:00Z,2024-06-08T02:30Z,174
2024-06-08T02:30Z,2024-06-08T03:00Z,163
2024-06-08T03:00Z,2024-06-08T03:30Z,166
2024-06-08T03:30Z,2024-06-08T04:00Z,72
2024-06-08T04:00Z,2024-06-08T04:30Z,30
2024-06-08T04:30Z,2024-06-08T05:00Z,137
2024-06-08T05:00Z,2024-06-08T05:30Z,141
2024-06-08T05:30Z,2024-06-08T06:00Z,148
2024-06-08T06:00Z,2024-06-08T06:30Z,137
2024-06-08T06:30Z,2024-06-08T07:00Z,125
2024-06-08T07:00Z,2024-06-08T07:30Z,134
2024-06-08T07:30Z,2024-06-08T08:00Z,136
2024-06-08T08:00Z,2024-06-08T08:30Z,134
2024-06-08T08:30Z,2024-06-08T09:00Z,128
2024-06-08T09:00Z,2024-06-08T09:30Z,123
2024-06-08T09:30Z,2024-06-08T10:00Z,121
2024-06-08T10:00Z,2024-06-08T10:30Z,119
2024-06-08T10:30Z,2024-06-08T11:00Z,111
2024-06-08T11:00Z,2024-06-08T11:30Z,102
2024-06-08T11:30Z,2024-06-08T12:00Z,89
2024-06-08T12:00Z,2024-06-08T12:30Z,83
2024-06-08T12:30Z,2024-06-08T13:00Z,83
2024-06-08T13:00Z,2024-06-08T13:30Z,85
2024-06-08T13:30Z,2024-06-08T14:00Z,93
2024-06-08T14:00Z,2024-06-08T14:30Z,93
2024-06-08T14:30Z,2024-06-08T15:00Z,94
2024-06-08T15:00Z,2024-06-08T15:30Z,108
2024-06-08T15:30Z,2024-06-08T16:00Z,118
2024-06-08T16:00Z,2024-06-08T16:30Z,147
2024-06-08T16:30Z,2024-06-08T17:00Z,155
2024-06-08T17:00Z,2024-06-08T17:30Z,158
2024-06-08T17:30Z,2024-06-08T18:00Z,170
2024-06-08T18:00Z,2024-06-08T18:30Z,175
2024-06-08T18:30Z,2024-06-08T19:00Z,174
2024-06-08T19:00Z,2024-06-08T19:30Z,167
2024-06-08T19:30Z,2024-06-08T20:00Z,140
2024-06-08T20:00Z,2024-06-08T20:30Z,121
2024-06-08T20:30Z,2024-06-08T21:00Z,120
2024-06-08T21:00Z,2024-06-08T21:30Z,112
2024-06-08T21:30Z,2024-06-08T22:00Z,110
2024-06-08T22:00Z,2024-06-08T22:30Z,99
2024-06-08T22:30Z,2024-06-08T23:00Z,97
2024-06-08T23:00Z,2024-06-08T23:30Z,88
2024-06-08T23:30Z,2024-06-09T00:00Z,87
2024-06-09T00:00Z,2024-06-09T00:30Z,93
2024-06-09T00:30Z,2024-06-09T01:00Z,102
2024-06-09T01:00Z,2024-06-09T01:30Z,111
2024-06-09T01:30Z,2024-06-09T02:00Z,113
2024-06-09T02:00Z,2024-06-09T02:30Z,108
2024-06-09T02:30Z,2024-06-09T03:00Z,110
2024-06-09T03:00Z,2024-06-09T03:30Z,109
2024-06-09T03:30Z,2024-06-09T04:00Z,112
2024-06-09T04:00Z,2024-06-09T04:30Z,109
2024-06-09T04:30Z,2024-06-09T05:00Z,115
2024-06-09T05:00Z,2024-06-09T05:30Z,119
2024-06-09T05:30Z,2024-06-09T06:00Z,118
2024-06-09T06:00Z,2024-06-09T06:30Z,114
2024-06-09T06:30Z,2024-06-09T07:00Z,99
2024-06-09T07:00Z,2024-06-09T07:30Z,111
2024-06-09T07:30Z,2024-06-09T08:00Z,97
2024-06-09T08:00Z,2024-06-09T08:30Z,90
2024-06-09T08:30Z,2024-06-09T09:00Z,85
2024-06-09T09:00Z,2024-06-09T09:30Z,88
2024-06-09T09:30Z,2024-06-09T10:00Z,95
2024-06-09T10:00Z,2024-06-09T10:30Z,105
2024-06-09T10:30Z,2024-06-09T11:00Z,126
2024-06-09T11:00Z,2024-06-09T11:30Z,129
2024-06-09T11:30Z,2024-06-09T12:00Z,101
2024-06-09T12:00Z,2024-06-09T12:30Z,108
2024-06-09T12:30Z,2024-06-09T13:00Z,117
2024-06-09T13:00Z,2024-06-09T13:30Z,122
2024-06-09T13:30Z,2024-06-09T14:00Z,132
2024-06-09T14:00Z,2024-06-09T14:30Z,154
2024-06-09T14:30Z,2024-06-09T15:00Z,175
2024-06-09T15:00Z,2024-06-09T15:30Z,212
2024-06-09T15:30Z,2024-06-09T16:00Z,235
2024-06-09T16:00Z,2024-06-09T16:30Z,262
2024-06-09T16:30Z,2024-06-09T17:00Z,269
2024-06-09T17:00Z,2024-06-09T17:30Z,270
2024-06-09T17:30Z,2024-06-09T18:00Z,281
2024-06-09T18:00Z,2024-06-09T18:30Z,288
2024-06-09T18:30Z,2024-06-09T19:00Z,288
2024-06-09T19:00Z,2024-06-09T19:30Z,295
2024-06-09T19:30Z,2024-06-09T20:00Z,288
2024-06-09T20:00Z,2024-06-09T20:30Z,273
2024-06-09T20:30Z,2024-06-09T21:00Z,237
2024-06-09T21:00Z,2024-06-09T21:30Z,223
2024-06-09T21:30Z,2024-06-09T22:00Z,200
2024-06-09T22:00Z,2024-06-09T22:30Z,188
2024-06-09T22:30Z,2024-06-09T23:00Z,186
2024-06-09T23:00Z,2024-06-09T23:30Z,179
2024-06-09T23:30Z,2024-06-10T00:00Z,175
2024-06-10T00:00Z,2024-06-10T00:30Z,179
2024-06-10T00:30Z,2024-06-10T01:00Z,175
2024-06-10T01:00Z,2024-06-10T01:30Z,175
2024-06-10T01:30Z,2024-06-10T02:00Z,175
2024-06-10T02:00Z,2024-06-10T02:30Z,168
2024-06-10T02:30Z,2024-06-10T03:00Z,163
2024-06-10T03:00Z,2024-06-10T03:30Z,163
2024-06-10T03:30Z,2024-06-10T04:00Z,156
2024-06-10T04:00Z,2024-06-10T04:30Z,155
2024-06-10T04:30Z,2024-06-10T05:00Z,153
2024-06-10T05:00Z,2024-06-10T05:30Z,144
2024-06-10T05:30Z,2024-06-10T06:00Z,129
2024-06-10T06:00Z,2024-06-10T06:30Z,125
2024-06-10T06:30Z,2024-06-10T07:00Z,119
2024-06-10T07:00Z,2024-06-10T07:30Z,113
2024-06-10T07:30Z,2024-06-10T08:00Z,105
2024-06-10T08:00Z,2024-06-10T08:30Z,95
2024-06-10T08:30Z,2024-06-10T09:00Z,77
2024-06-10T09:00Z,2024-06-10T09:30Z,64
2024-06-10T09:30Z,2024-06-10T10:00Z,63
2024-06-10T10:00Z,2024-06-10T10:30Z,59
2024-06-10T10:30Z,2024-06-10T11:00Z,60
2024-06-10T11:00Z,2024-06-10T11:30Z,55
2024-06-10T11:30Z,2024-06-10T12:00Z,59
2024-06-10T12:00Z,2024-06-10T12:30Z,56
2024-06-10T12:30Z,2024-06-10T13:00Z,58
2024-06-10T13:00Z,2024-06-10T13:30Z,59
2024-06-10T13:30Z,2024-06-10T14:00Z,58
2024-06-10T14:00Z,2024-06-10T14:30Z,67
2024-06-10T14:30Z,2024-06-10T15:00Z,65
2024-06-10T15:00Z,2024-06-10T15:30Z,64
2024-06-10T15:30Z,2024-06-10T16:00Z,79
2024-06-10T16:00Z,2024-06-10T16:30Z,88
2024-06-10T16:30Z,2024-06-10T17:00Z,96
2024-06-10T17:00Z,2024-06-10T17:30Z,107
2024-06-10T17:30Z,2024-06-10T18:00Z,120
2024-06-10T18:00Z,2024-06-10T18:30Z,129
2024-06-10T18:30Z,2024-06-10T19:00Z,124
2024-06-10T19:00Z,2024-06-10T19:30Z,131
2024-06-10T19:30Z,2024-06-10T20:00Z,142
2024-06-10T20:00Z,2024-06-10T20:30Z,137
2024-06-10T20:30Z,2024-06-10T21:00Z,144
2024-06-10T21:00Z,2024-06-10T21:30Z,151
2024-06-10T21:30Z,2024-06-10T22:00Z,147
2024-06-10T22:00Z,2024-06-10T22:30Z,145
2024-06-10T22:30Z,2024-06-10T23:00Z,145
2024-06-10T23:00Z,2024-06-10T23:30Z,141
2024-06-10T23:30Z,2024-06-11T00:00Z,138
2024-06-11T00:00Z,2024-06-11T00:30Z,137
2024-06-11T00:30Z,2024-06-11T01:00Z,140
2024-06-11T01:00Z,2024-06-11T01:30Z,140
2024-06-11T01:30Z,2024-06-11T02:00Z,147
2024-06-11T02:00Z,2024-06-11T02:30Z,150
2024-06-11T02:30Z,2024-06-11T03:00Z,152
2024-06-11T03:00Z,2024-06-11T03:30Z,151
2024-06-11T03:30Z,2024-06-11T04:00Z,152
2024-06-11T04:00Z,2024-06-11T04:30Z,153
2024-06-11T04:30Z,2024-06-11T05:00Z,153
2024-06-11T05:00Z,2024-06-11T05:30Z,138
2024-06-11T05:30Z,2024-06-11T06:00Z,134
2024-06-11T06:00Z,2024-06-11T06:30Z,130
2024-06-11T06:30Z,2024-06-11T07:00Z,121
2024-06-11T07:00Z,2024-06-11T07:30Z,107
2024-06-11T07:30Z,2024-06-11T08:00Z,93
2024-06-11T08:00Z,2024-06-11T08:30Z,79
2024-06-11T08:30Z,2024-06-11T09:00Z,77
2024-06-11T09:00Z,2024-06-11T09:30Z,76
2024-06-11T09:30Z,2024-06-11T10:00Z,72
2024-06-11T10:00Z,2024-06-11T10:30Z,75
2024-06-11T10:30Z,2024-06-11T11:00Z,78
2024-06-11T11:00Z,2024-06-11T11:30Z,75
2024-06-11T11:30Z,2024-06-11T12:00Z,69
2024-06-11T12:00Z,2024-06-11T12:30Z,75
2024-06-11T12:30Z,2024-06-11T13:00Z,68
2024-06-11T13:00Z,2024-06-11T13:30Z,69
2024-06-11T13:30Z,2024-06-11T14:00Z,73
2024-06-11T14:00Z,2024-06-11T14:30Z,81
2024-06-11T14:30Z,2024-06-11T15:00Z,89
2024-06-11T15:00Z,2024-06-11T15:30Z,107
2024-06-11T15:30Z,2024-06-11T16:00Z,125
2024-06-11T16:00Z,2024-06-11T16:30Z,158
2024-06-11T16:30Z,2024-06-11T17:00Z,180
2024-06-11T17:00Z,2024-06-11T17:30Z,168
2024-06-11T17:30Z,2024-06-11T18:00Z,175
2024-06-11T18:00Z,2024-06-11T18:30Z,180
2024-06-11T18:30Z,2024-06-11T19:00Z,186
2024-06-11T19:00Z,2024-06-11T19:30Z,190
2024-06-11T19:30Z,2024-06-11T20:00Z,208
2024-06-11T20:00Z,2024-06-11T20:30Z,211
2024-06-11T20:30Z,2024-06-11T21:00Z,208
2024-06-11T21:00Z,2024-06-11T21:30Z,219
2024-06-11T21:30Z,2024-06-11T22:00Z,213
2024-06-11T22:00Z,2024-06-11T22:30Z,198
2024-06-11T22:30Z,2024-06-11T23:00Z,264
2024-06-12T10:00Z,2024-06-12T10:30Z,295
2024-06-12T10:30Z,2024-06-12T11:00Z,295
2024-06-12T11:00Z,2024-06-12T11:30Z,304
2024-06-12T11:30Z,2024-06-12T12:00Z,300
2024-06-12T12:00Z,2024-06-12T12:30Z,301
2024-06-12T12:30Z,2024-06-12T13:00Z,281
2024-06-12T13:00Z,2024-06-12T13:30Z,288
2024-06-12T13:30Z,2024-06-12T14:00Z,292
2024-06-12T14:00Z,2024-06-12T14:30Z,300
2024-06-12T14:30Z,2024-06-12T15:00Z,315
2024-06-12T15:00Z,2024-06-12T15:30Z,317
2024-06-12T15:30Z,2024-06-12T16:00Z,323
2024-06-12T16:00Z,2024-06-12T16:30Z,316
2024-06-12T16:30Z,2024-06-12T17:00Z,318
2024-06-12T17:00Z,2024-06-12T17:30Z,319
2024-06-12T17:30Z,2024-06-12T18:00Z,325
2024-06-12T18:00Z,2024-06-12T18:30Z,327
2024-06-12T18:30Z,2024-06-12T19:00Z,331
