unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity,Carbon Optimised Emission,Carbon Unoptimised Emission,Carbon Optimised Cost Savings,Price Optimised Cost,Price Unoptimised Cost,Price Optimised Emission Savings
1717491600,13.15,6.66,1,1,0.9,103.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717493400,11.78,6.05,1,1,0.9,97.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717495200,11.34,5.86,1,1,0.9,95.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717497000,10.71,5.57,1,1,0.9,89.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717498800,8.65,4.65,1,0,0.9,80.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717500600,7.46,4.12,1,1,0.9,28.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717502400,6.57,3.72,1,1,0.9,60.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717504200,4.67,2.87,1,1,0.9,68.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717506000,8.4,4.54,1,1,0.9,71.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717507800,6.93,3.88,1,1,0.9,76.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717509600,6.87,3.85,1,1,0.9,78.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717511400,8.19,4.45,1,1,0.9,85.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717513200,24.25,11.33,1,1,0.9,88.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717515000,27.51,12.78,1,1,0.9,100.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717516800,29.61,13.72,1,0,0.9,111.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717518600,31.06,14.37,1,1,0.9,118.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717520400,35.2,16.22,1,1,0.9,113.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717522200,35.07,16.17,1,1,0.9,125.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717524000,21.42,10.37,1,1,0.9,124.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717525800,20.83,10.1,1,1,0.9,122.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717527600,21.9,10.58,1,1,0.9,124.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717529400,22.51,10.86,1,1,0.9,126.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717531200,20.79,10.09,1,1,0.9,121.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717533000,18.63,9.12,1,1,0.9,85.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717534800,15.83,7.87,1,0,0.9,75.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717536600,12.39,6.33,1,1,0.9,74.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717538400,9.53,5.05,1,1,0.9,89.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717540200,5.04,3.04,1,1,0.9,119.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717542000,6.59,3.73,1,1,0.9,112.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717543800,3.25,2.24,1,12,1.01,101.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717545600,6.85,3.84,1,1,1.01,96.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717547400,7.56,4.16,1,1,1.01,99.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717549200,6.93,3.88,1,1,1.01,104.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717551000,5.25,3.13,1,1,1.01,108.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717552800,7.56,4.16,1,0,1.01,109.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717554600,7.31,4.05,1,1,1.01,115.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717556400,6.89,3.86,1,1,1.01,116.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717558200,5.67,3.32,1,1,1.01,121.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717560000,8.82,4.73,1,1,1.01,114.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717561800,10.29,5.39,1,1,1.01,116.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717563600,13.65,6.89,1,1,1.01,111.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717565400,19.07,9.32,1,1,1.01,105.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717567200,16.44,8.14,1,1,1.01,95.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717569000,18.42,9.02,1,1,1.01,86.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717570800,18.88,9.23,1,0,1.01,90.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717572600,18.48,9.05,1,1,1.01,82.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717574400,16.57,8.2,1,1,1.01,64.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717576200,15.75,7.83,1,1,1.01,54.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717578000,12.26,6.27,1,1,1.01,57.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717579800,10.77,5.6,1,1,1.01,57.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717581600,10.49,5.48,1,1,1.01,56.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717583400,10.08,5.29,1,1,1.01,49.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717585200,9.91,5.22,1,1,1.01,54.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717587000,8.9,4.77,1,1,1.01,48.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717588800,7.14,3.98,1,0,1.01,52.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717590600,5.61,3.29,1,1,1.01,53.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
